Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-001,System shall allow users to login using email and password,N/A,TS-002,Yes,Covered,
REQ-002,System shall provide password reset functionality for users who forgot their password,N/A,TS-003,Yes,Covered,
REQ-003,System shall allow users to login using Facebook account,N/A,TS-004,Yes,Covered,
REQ-004,System shall allow users to login using Google account,N/A,TS-005,Yes,Covered,
REQ-005,"System shall provide user registration functionality with fields for first name, last name, email, contact number, password, and confirm password",N/A,TS-001,Yes,Covered,
REQ-006,System shall require users to accept terms and conditions during registration,N/A,TS-001,Yes,Covered,
REQ-007,System shall require email verification before users can login,N/A,TS-001,Yes,Covered,
REQ-008,System shall send email verification link to registered email address,N/A,TS-001,Yes,Covered,
REQ-009,System shall allow users to login only after email verification is completed,N/A,TS-001,Yes,Covered,
REQ-010,System shall allow users to search products by keyword,N/A,TS-007,Yes,Covered,
REQ-011,System shall allow users to browse products by category and sub-category,N/A,TS-008,Yes,Covered,
REQ-012,System shall provide filtering options for product search,N/A,TS-009,Yes,Covered,
REQ-013,System shall provide sorting options for product search,N/A,TS-010,Yes,Covered,
REQ-014,System shall allow product search without requiring user login,N/A,"TS-007, TS-008, TS-009, TS-010",Yes,Covered,
REQ-015,"System shall display product listing with product title, thumbnail image, price, and ratings",N/A,TS-011,Yes,Covered,
REQ-016,System shall allow users to navigate to product detail page by clicking product title or image,N/A,TS-012,Yes,Covered,
REQ-017,System shall allow users to view product listings without login,N/A,"TS-011, TS-012",Yes,Covered,
REQ-018,"System shall display comprehensive product details including title, images, description, price, size variations, color variations, and ratings & reviews",N/A,TS-013,Yes,Covered,
REQ-019,System shall allow users to check shipping availability by entering PIN code on product detail page,N/A,TS-014,Yes,Covered,
REQ-020,System shall display product thumbnail and multiple product images,N/A,TS-013,Yes,Covered,
REQ-021,System shall allow users to view product details without login,N/A,TS-013,Yes,Covered,
REQ-022,System shall provide functionality to add product to shopping cart from product detail page,N/A,TS-017,Yes,Covered,
REQ-023,System shall provide functionality to add product to wishlist from product detail page,N/A,TS-022,Yes,Covered,
REQ-024,System shall allow users to share products on social media,N/A,TS-016,Yes,Covered,
REQ-025,System shall prevent adding products to wishlist without user login,N/A,TS-022,Yes,Covered,
REQ-026,System shall require user registration and login to maintain wishlist,N/A,"TS-022, TS-023",Yes,Covered,
REQ-027,System shall allow buyers to view wishlist items,N/A,TS-023,Yes,Covered,
REQ-028,System shall allow buyers to add products to wishlist,N/A,TS-022,Yes,Covered,
REQ-029,System shall allow buyers to delete products from wishlist,N/A,TS-024,Yes,Covered,
REQ-030,System shall allow buyers to proceed to checkout with wishlist items,N/A,TS-025,Yes,Covered,
REQ-031,System shall allow adding products to shopping cart from product detail page,N/A,TS-017,Yes,Covered,
REQ-032,System shall require user registration and login to manage shopping cart,N/A,TS-017,Yes,Covered,
REQ-033,System shall allow users to add items to shopping cart,N/A,TS-017,Yes,Covered,
REQ-034,System shall allow users to remove items from shopping cart,N/A,TS-020,Yes,Covered,
REQ-035,System shall allow users to update quantity of items in shopping cart,N/A,TS-019,Yes,Covered,
REQ-036,System shall allow users to proceed to checkout with cart items,N/A,TS-021,Yes,Covered,
REQ-037,"System shall display item price, sub-total, and total price in shopping cart",N/A,"TS-018, TS-019",Yes,Covered,
REQ-038,System shall process checkout for items selected from shopping cart,N/A,TS-021,Yes,Covered,
REQ-039,System shall require user login for checkout and payment,N/A,TS-021,Yes,Covered,
REQ-040,System shall require users to enter billing address before checkout,N/A,TS-026,Yes,Covered,
REQ-041,System shall require users to enter shipping address before checkout,N/A,TS-027,Yes,Covered,
REQ-042,System shall provide credit card payment option,N/A,TS-029,Yes,Covered,
REQ-043,System shall provide debit card payment option,N/A,TS-030,Yes,Covered,
REQ-044,System shall provide net banking payment option,N/A,TS-031,Yes,Covered,
REQ-045,"System shall display order summary showing item total, sub-total, shipping cost, tax, and order total",N/A,TS-028,Yes,Covered,
REQ-046,System shall send email notifications to buyers for order status updates,N/A,"TS-032, TS-040, TS-041",Yes,Covered,
REQ-047,System shall process online payment in advance before order placement,N/A,"TS-029, TS-030, TS-031",Yes,Covered,
REQ-048,System shall allow users to share products on social media,N/A,TS-016,Yes,Covered,
REQ-049,System shall not require login for sharing products on social media,N/A,TS-016,Yes,Covered,
REQ-050,System shall allow buyers to manage profile details including email and phone number,N/A,TS-033,Yes,Covered,
REQ-051,System shall allow buyers to change password from account section,N/A,TS-034,Yes,Covered,
REQ-052,System shall allow buyers to manage multiple addresses from account section,N/A,TS-035,Yes,Covered,
REQ-053,System shall provide access to My Orders section from My Account,N/A,TS-036,Yes,Covered,
REQ-054,System shall provide access to Wishlist section from My Account,N/A,TS-036,Yes,Covered,
REQ-055,System shall provide access to Shopping Cart section from My Account,N/A,TS-036,Yes,Covered,
REQ-056,System shall provide access to Ratings and Reviews section from My Account,N/A,"TS-036, TS-044",Yes,Covered,
REQ-057,System shall provide logout functionality from My Account,N/A,"TS-006, TS-036",Yes,Covered,
REQ-058,System shall allow users to give ratings and reviews for ordered products,N/A,"TS-043, TS-044",Yes,Covered,
REQ-059,System shall allow users to post ratings and reviews only for products they have ordered,N/A,TS-043,Yes,Covered,
REQ-060,System shall require login and registration to post ratings and reviews,N/A,TS-043,Yes,Covered,
REQ-061,System shall display product ratings and reviews to all users,N/A,TS-015,Yes,Covered,
REQ-062,System shall allow buyers to view list of past orders,N/A,TS-037,Yes,Covered,
REQ-063,"System shall display order details including total amount paid, shipping address, item quantity, and price per unit",N/A,"TS-037, TS-038",Yes,Covered,
REQ-064,System shall allow buyers to reorder items from order history,N/A,TS-042,Yes,Covered,
REQ-065,System shall allow buyers to track current orders from My Orders section,N/A,TS-039,Yes,Covered,
REQ-066,System shall provide order shipment tracking functionality,N/A,TS-039,Yes,Covered,
REQ-067,System shall allow buyers to contact support team via email,N/A,TS-045,Yes,Covered,
REQ-068,"System shall provide contact form with fields for name, email, contact number, and message",N/A,TS-045,Yes,Covered,
REQ-069,System shall send email to admin when buyer submits support request,N/A,TS-045,Yes,Covered,
REQ-070,System shall provide contact support functionality for buyers,N/A,TS-045,Yes,Covered,
REQ-071,System shall allow admin to login to admin panel using username and password,N/A,TS-046,Yes,Covered,
REQ-072,System shall provide password reset functionality for admin users,N/A,TS-047,Yes,Covered,
REQ-073,System shall display total number of active registered buyers on admin dashboard,N/A,TS-048,Yes,Covered,
REQ-074,System shall display total number of inactive registered buyers on admin dashboard,N/A,TS-048,Yes,Covered,
REQ-075,System shall display total number of products uploaded on admin dashboard,N/A,TS-048,Yes,Covered,
REQ-076,System shall display total revenue for today on admin dashboard,N/A,TS-048,Yes,Covered,
REQ-077,System shall display total revenue for current month on admin dashboard,N/A,TS-048,Yes,Covered,
REQ-078,System shall allow admin to view buyer account information,N/A,TS-049,Yes,Covered,
REQ-079,System shall allow admin to edit buyer account information,N/A,TS-051,Yes,Covered,
REQ-080,System shall allow admin to activate buyer accounts,N/A,TS-052,Yes,Covered,
REQ-081,System shall allow admin to deactivate buyer accounts,N/A,TS-052,Yes,Covered,
REQ-082,"System shall allow admin to view buyer profile details, addresses, orders, wishlist, and cart items",N/A,TS-050,Yes,Covered,
REQ-083,System shall allow admin to view list of all orders with current status,N/A,TS-053,Yes,Covered,
REQ-084,System shall allow admin to view order details,N/A,TS-054,Yes,Covered,
REQ-085,System shall allow admin to edit order details,N/A,TS-057,Yes,Covered,
REQ-086,System shall allow admin to update order status,N/A,TS-055,Yes,Covered,
REQ-087,"System shall support order statuses: Open, Confirmed, In Process, Shipped, and Delivered",N/A,TS-055,Yes,Covered,
REQ-088,System shall allow admin to manage order shipments,N/A,TS-056,Yes,Covered,
REQ-089,"System shall allow admin to maintain shipment details including carrier, tracking ID, status, delivery address, and shipping cost",N/A,TS-056,Yes,Covered,
REQ-090,System shall allow admin to add product categories,N/A,TS-058,Yes,Covered,
REQ-091,System shall allow admin to edit product categories,N/A,TS-059,Yes,Covered,
REQ-092,System shall allow admin to activate/deactivate product categories,N/A,TS-060,Yes,Covered,
REQ-093,System shall allow admin to add product sub-categories,N/A,TS-061,Yes,Covered,
REQ-094,System shall allow admin to edit product sub-categories,N/A,TS-062,Yes,Covered,
REQ-095,System shall allow admin to activate/deactivate product sub-categories,N/A,TS-063,Yes,Covered,
REQ-096,System shall allow admin to add products to catalog,N/A,TS-064,Yes,Covered,
REQ-097,System shall allow admin to edit products in catalog,N/A,TS-065,Yes,Covered,
REQ-098,System shall allow admin to activate/deactivate products in catalog,N/A,TS-066,Yes,Covered,
REQ-099,"System shall allow admin to manage product name, images, description, keywords, and variations (color, size)",N/A,"TS-064, TS-065",Yes,Covered,
REQ-100,System shall allow admin to view payment information including bank account details,N/A,TS-067,Yes,Covered,
REQ-101,System shall allow admin to edit payment information,N/A,TS-068,Yes,Covered,
REQ-102,System shall allow admin to view payment status of each order,N/A,TS-069,Yes,Covered,
REQ-103,System shall integrate with Stripe payment gateway,N/A,"TS-029, TS-030, TS-031",Yes,Covered,
REQ-104,System shall allow admin to approve ratings and reviews posted by buyers,N/A,TS-070,Yes,Covered,
REQ-105,System shall allow admin to reject ratings and reviews posted by buyers,N/A,TS-071,Yes,Covered,
REQ-106,System shall provide report of products uploaded by date range,N/A,TS-072,Yes,Covered,
REQ-107,System shall provide report of products uploaded by month,N/A,TS-072,Yes,Covered,
REQ-108,System shall provide report of products uploaded by year,N/A,TS-072,Yes,Covered,
REQ-109,System shall provide revenue report for today,N/A,TS-073,Yes,Covered,
REQ-110,System shall provide revenue report for current week,N/A,TS-073,Yes,Covered,
REQ-111,System shall provide revenue report by date range,N/A,TS-073,Yes,Covered,
REQ-112,System shall provide revenue report by month,N/A,TS-073,Yes,Covered,
REQ-113,System shall provide revenue report by year,N/A,TS-073,Yes,Covered,
REQ-114,System shall allow admin to export reports in PDF format,N/A,TS-074,Yes,Covered,
REQ-115,System shall allow admin to export reports in Excel format,N/A,TS-075,Yes,Covered,
REQ-116,System shall allow admin to create sub-admin users,N/A,TS-076,Yes,Covered,
REQ-117,System shall allow admin to edit sub-admin users,N/A,TS-077,Yes,Covered,
REQ-118,System shall allow admin to delete sub-admin users,N/A,TS-078,Yes,Covered,
REQ-119,System shall allow admin to activate/deactivate sub-admin users,N/A,TS-079,Yes,Covered,
REQ-120,System shall provide role-based access control for sub-admin users,N/A,TS-080,Yes,Covered,
REQ-121,System shall allow admin to add roles with specific permissions,N/A,TS-080,Yes,Covered,
REQ-122,System shall allow admin to edit roles,N/A,TS-081,Yes,Covered,
REQ-123,System shall allow admin to delete roles,N/A,TS-082,Yes,Covered,
REQ-124,System shall allow admin to activate/deactivate roles,N/A,TS-083,Yes,Covered,
REQ-125,System shall allow admin to edit About Us page content,N/A,TS-084,Yes,Covered,
REQ-126,System shall allow admin to edit Contact Us page content,N/A,TS-085,Yes,Covered,
REQ-127,System shall allow admin to edit Privacy Policy page content,N/A,TS-086,Yes,Covered,
REQ-128,System shall allow admin to edit Terms and Conditions page content,N/A,TS-087,Yes,Covered,
REQ-129,System shall allow admin to add email content for new product launches,N/A,TS-088,Yes,Covered,
REQ-130,System shall allow admin to edit email content for promotional campaigns,N/A,TS-089,Yes,Covered,
REQ-131,System shall allow admin to delete email templates,N/A,TS-090,Yes,Covered,
REQ-132,System shall allow admin to send promotional emails to buyers,N/A,TS-091,Yes,Covered,
REQ-133,System shall allow admin to view queries and complaints from buyers,N/A,TS-092,Yes,Covered,
REQ-134,System shall allow admin to view feedback from buyers,N/A,TS-092,Yes,Covered,
REQ-135,System shall send email to admin when buyer submits complaint or feedback,N/A,TS-093,Yes,Covered,
REQ-136,System shall support up to 100 concurrent users,N/A,TS-094,Yes,Covered,
REQ-137,System web pages shall load within 30 seconds with good internet speed,N/A,TS-095,Yes,Covered,
REQ-138,System shall display appropriate error messages instead of broken pages when content is not available,N/A,TS-096,Yes,Covered,
REQ-139,"System shall not display ""page not found"" errors for unavailable pages",N/A,TS-096,Yes,Covered,
REQ-140,System shall implement SSL security for all communications,N/A,"TS-029, TS-030, TS-031, TS-097",Yes,Covered,
REQ-141,System shall implement encryption for online payment processing,N/A,"TS-029, TS-030, TS-031, TS-097",Yes,Covered,
REQ-142,System shall protect payment card data during transmission,N/A,"TS-029, TS-030, TS-031, TS-097",Yes,Covered,
REQ-143,System shall accept orders only from United States,N/A,TS-098,Yes,Covered,
REQ-144,System shall display all prices in USD currency,N/A,TS-099,Yes,Covered,
REQ-145,System shall not support ordering of custom-sized products,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-146,System shall not support ordering of custom-colored products,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-147,System shall not support cash on delivery payment option,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-148,System shall not support real-time order tracking,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-149,System shall manage products using SKU (Stock Keeping Unit) codes,N/A,"TS-064, TS-100",Yes,Covered,
REQ-150,System shall support product variations for standard sizes only,N/A,TS-064,Yes,Covered,
REQ-151,System shall support product variations for standard colors only,N/A,TS-064,Yes,Covered,
REQ-152,System shall assume physical warehouse and inventory storage is already established,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-153,System shall integrate with existing inventory management system,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-154,System shall send order confirmation email to buyer upon successful order placement,N/A,TS-032,Yes,Covered,
REQ-155,System shall send shipping notification email when order is shipped,N/A,TS-040,Yes,Covered,
REQ-156,System shall send delivery confirmation email when order is delivered,N/A,TS-041,Yes,Covered,
REQ-157,System shall send registration confirmation email upon successful registration,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-158,System shall validate email format during registration,N/A,TS-001,Yes,Covered,
REQ-159,System shall validate phone number format during registration,N/A,TS-001,Yes,Covered,
REQ-160,System shall validate password match between password and confirm password fields,N/A,TS-001,Yes,Covered,
REQ-161,System shall validate credit card details during payment,N/A,"TS-026, TS-029, TS-030, TS-031",Yes,Covered,
REQ-162,System shall validate shipping PIN code format,N/A,"TS-014, TS-027, TS-098",Yes,Covered,
REQ-163,System shall maintain user session after login,N/A,TS-002,Yes,Covered,
REQ-164,System shall preserve shopping cart contents during user session,N/A,"TS-017, TS-018",Yes,Covered,
REQ-165,System shall end user session upon logout,N/A,TS-006,Yes,Covered,
REQ-166,System shall display user-friendly error messages for failed operations,N/A,TS-096,Yes,Covered,
REQ-167,System shall handle payment gateway failures gracefully,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-168,System shall prevent duplicate order submission,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-169,System shall log all order transactions,N/A,TS-032,Yes,Covered,
REQ-170,System shall log all payment transactions,N/A,"TS-029, TS-030, TS-031",Yes,Covered,
REQ-171,System shall log admin user actions for product and order management,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
