Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-001,N/A,N/A,TS-001,Yes,Covered,
REQ-002,N/A,N/A,TS-002,Yes,Covered,
REQ-003,N/A,N/A,TS-003,Yes,Covered,
REQ-004,N/A,N/A,TS-004,Yes,Covered,
REQ-005,N/A,N/A,TS-005,Yes,Covered,
REQ-006,N/A,N/A,TS-006,Yes,Covered,
REQ-007,N/A,N/A,TS-007,Yes,Covered,
REQ-008,N/A,N/A,TS-008,Yes,Covered,
REQ-009,N/A,N/A,TS-009,Yes,Covered,
REQ-010,N/A,N/A,TS-010,Yes,Covered,
REQ-011,N/A,N/A,TS-011,Yes,Covered,
REQ-012,N/A,N/A,TS-012,Yes,Covered,
REQ-013,N/A,N/A,TS-013,Yes,Covered,
REQ-014,N/A,N/A,TS-014,Yes,Covered,
REQ-015,N/A,N/A,TS-015,Yes,Covered,
REQ-016,N/A,N/A,TS-016,Yes,Covered,
REQ-017,N/A,N/A,TS-017,Yes,Covered,
REQ-018,N/A,N/A,TS-018,Yes,Covered,
REQ-019,N/A,N/A,TS-019,Yes,Covered,
REQ-020,N/A,N/A,TS-020,Yes,Covered,
REQ-021,N/A,N/A,TS-021,Yes,Covered,
REQ-022,N/A,N/A,TS-022,Yes,Covered,
REQ-023,N/A,N/A,TS-023,Yes,Covered,
REQ-024,N/A,N/A,TS-024,Yes,Covered,
REQ-025,N/A,N/A,TS-025,Yes,Covered,
REQ-026,N/A,N/A,TS-026,Yes,Covered,
REQ-027,N/A,N/A,TS-027,Yes,Covered,
REQ-028,N/A,N/A,TS-028,Yes,Covered,
REQ-029,N/A,N/A,TS-029,Yes,Covered,
REQ-030,N/A,N/A,TS-030,Yes,Covered,
REQ-031,N/A,N/A,TS-031,Yes,Covered,
REQ-032,N/A,N/A,TS-032,Yes,Covered,
REQ-033,N/A,N/A,TS-033,Yes,Covered,
REQ-034,N/A,N/A,TS-034,Yes,Covered,
REQ-035,N/A,N/A,"TS-022, TS-035",Yes,Covered,
REQ-036,N/A,N/A,TS-036,Yes,Covered,
REQ-037,N/A,N/A,TS-037,Yes,Covered,
REQ-038,N/A,N/A,TS-038,Yes,Covered,
REQ-039,N/A,N/A,TS-039,Yes,Covered,
REQ-040,N/A,N/A,TS-040,Yes,Covered,
REQ-041,N/A,N/A,TS-041,Yes,Covered,
REQ-042,N/A,N/A,TS-042,Yes,Covered,
REQ-043,N/A,N/A,TS-043,Yes,Covered,
REQ-044,N/A,N/A,TS-044,Yes,Covered,
REQ-045,N/A,N/A,TS-045,Yes,Covered,
REQ-046,N/A,N/A,TS-046,Yes,Covered,
REQ-047,N/A,N/A,TS-047,Yes,Covered,
REQ-048,N/A,N/A,TS-048,Yes,Covered,
REQ-049,N/A,N/A,TS-049,Yes,Covered,
REQ-050,N/A,N/A,TS-050,Yes,Covered,
REQ-051,N/A,N/A,"TS-003, TS-051",Yes,Covered,
REQ-052,N/A,N/A,TS-052,Yes,Covered,
REQ-053,N/A,N/A,TS-053,Yes,Covered,
REQ-054,N/A,N/A,TS-054,Yes,Covered,
REQ-055,N/A,N/A,TS-055,Yes,Covered,
REQ-056,N/A,N/A,TS-056,Yes,Covered,
REQ-057,N/A,N/A,"TS-028, TS-057",Yes,Covered,
REQ-058,N/A,N/A,"TS-003, TS-058",Yes,Covered,
REQ-059,N/A,N/A,TS-059,Yes,Covered,
REQ-060,N/A,N/A,TS-060,Yes,Covered,
REQ-061,N/A,N/A,TS-061,Yes,Covered,
REQ-062,N/A,N/A,TS-062,Yes,Covered,
REQ-063,N/A,N/A,TS-063,Yes,Covered,
REQ-064,N/A,N/A,TS-064,Yes,Covered,
REQ-065,N/A,N/A,TS-065,Yes,Covered,
REQ-066,N/A,N/A,TS-066,Yes,Covered,
REQ-067,N/A,N/A,TS-067,Yes,Covered,
REQ-068,N/A,N/A,TS-068,Yes,Covered,
REQ-069,N/A,N/A,TS-069,Yes,Covered,
REQ-070,N/A,N/A,TS-070,Yes,Covered,
REQ-071,N/A,N/A,TS-071,Yes,Covered,
REQ-072,N/A,N/A,TS-072,Yes,Covered,
REQ-073,N/A,N/A,TS-073,Yes,Covered,
REQ-074,N/A,N/A,TS-074,Yes,Covered,
REQ-075,N/A,N/A,TS-075,Yes,Covered,
REQ-076,N/A,N/A,TS-042,Yes,Covered,
REQ-077,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-078,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-079,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-080,N/A,N/A,TS-001,Yes,Covered,
REQ-081,N/A,N/A,TS-006,Yes,Covered,
REQ-082,N/A,N/A,TS-002,Yes,Covered,
REQ-083,N/A,N/A,"TS-002, TS-029",Yes,Covered,
REQ-084,N/A,N/A,"TS-036, TS-045",Yes,Covered,
REQ-085,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-086,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-087,N/A,N/A,TS-035,Yes,Covered,
REQ-088,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-089,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-090,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-091,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-092,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-093,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-094,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-095,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-096,N/A,N/A,TS-044,Yes,Covered,
REQ-097,N/A,N/A,"TS-037, TS-038",Yes,Covered,
REQ-098,N/A,N/A,"TS-047, TS-048",Yes,Covered,
REQ-099,N/A,N/A,TS-047,Yes,Covered,
REQ-100,N/A,N/A,TS-038,Yes,Covered,
