Variant_ID,User_Type,Browser,Device,Payment_Method,Login_Method,Product_Size,Product_Color,Address_Type,Email_Status,Account_Status,Order_Status,Product_Stock_Status
V001,Visitor,Chrome,Desktop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Stock
V002,Visitor,Firefox,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Out of Stock
V003,Visitor,Safari,Tablet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Stock
V004,New Buyer,Chrome,Desktop,Credit Card,Email/Password,Small,Red,Same as Billing,Verified,Active,Open,In Stock
V005,New Buyer,Firefox,Desktop,Debit Card,Facebook,Medium,Blue,Different Address,Verified,Active,Confirmed,In Stock
V006,New Buyer,Safari,Mobile,Net Banking,Google,Large,Green,Same as Billing,Verified,Active,In Process,In Stock
V007,Existing Buyer,Chrome,Desktop,Credit Card,Email/Password,X-Large,Black,Different Address,Verified,Active,Shipped,In Stock
V008,Existing Buyer,Firefox,Mobile,Debit Card,Email/Password,Small,White,Same as Billing,Verified,Active,Delivered,In Stock
V009,Existing Buyer,Edge,Tablet,Net Banking,Facebook,Medium,Red,Different Address,Verified,Active,Open,In Stock
V010,Existing Buyer,Chrome,Desktop,Credit Card,Google,Large,Blue,Same as Billing,Verified,Active,Confirmed,Out of Stock
V011,Buyer,Safari,Mobile,Debit Card,Email/Password,X-Large,Green,Different Address,Unverified,Inactive,N/A,In Stock
V012,Buyer,Firefox,Desktop,Net Banking,Email/Password,Small,Black,Same as Billing,Verified,Inactive,N/A,In Stock
V013,Admin,Chrome,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V014,Admin,Firefox,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V015,Admin,Safari,Tablet,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V016,Sub-Admin,Chrome,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V017,Sub-Admin,Firefox,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Inactive,N/A,N/A
V018,Buyer,Chrome,Desktop,Credit Card,Email/Password,Medium,Red,Different Address,Verified,Active,Open,In Stock
V019,Buyer,Firefox,Mobile,Debit Card,Facebook,Large,Blue,Same as Billing,Verified,Active,Confirmed,In Stock
V020,Buyer,Safari,Desktop,Net Banking,Google,Small,Green,Different Address,Verified,Active,In Process,In Stock
V021,Buyer,Edge,Tablet,Credit Card,Email/Password,X-Large,Black,Same as Billing,Verified,Active,Shipped,In Stock
V022,Buyer,Chrome,Mobile,Debit Card,Email/Password,Medium,White,Different Address,Verified,Active,Delivered,In Stock
V023,New Buyer,Firefox,Desktop,Net Banking,Facebook,Large,Red,Same as Billing,Verified,Active,Open,Out of Stock
V024,Existing Buyer,Chrome,Desktop,Credit Card,Google,Small,Blue,Different Address,Verified,Active,Confirmed,In Stock
V025,Visitor,Edge,Desktop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Stock
V026,Buyer,Safari,Mobile,Debit Card,Email/Password,X-Large,Green,Same as Billing,Verified,Active,In Process,In Stock
V027,Buyer,Chrome,Tablet,Net Banking,Facebook,Medium,Black,Different Address,Verified,Active,Shipped,In Stock
V028,Admin,Firefox,Desktop,N/A,Email/Password,N/A,N/A,N/A,N/A,Active,N/A,N/A
V029,Buyer,Edge,Desktop,Credit Card,Email/Password,Large,White,Same as Billing,Verified,Active,Delivered,In Stock
V030,Buyer,Chrome,Mobile,Debit Card,Google,Small,Red,Different Address,Verified,Active,Open,In Stock
V031,New Buyer,Safari,Desktop,Net Banking,Email/Password,Medium,Blue,Same as Billing,Verified,Active,Confirmed,In Stock
V032,Existing Buyer,Firefox,Tablet,Credit Card,Facebook,X-Large,Green,Different Address,Verified,Active,In Process,In Stock
V033,Buyer,Chrome,Desktop,Debit Card,Google,Large,Black,Same as Billing,Verified,Active,Shipped,Out of Stock
V034,Visitor,Firefox,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Stock
V035,Buyer,Safari,Desktop,Net Banking,Email/Password,Small,White,Different Address,Verified,Active,Delivered,In Stock
V036,Buyer,Edge,Tablet,Credit Card,Facebook,Medium,Red,Same as Billing,Verified,Active,Open,In Stock
